P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,median_burst,average_burst,average_max_burst,sqrt_median_HB_burst,average_median_burst,sqrt_average_median_burst,average_median_max,sqrt_median_max
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(2, 3)","(3, 4)","(23, 8)","(10, 4)","(5, 4)","(30, 4)","(13, 4)","(3, 8)","(23, 4)","(3, 0)","(47.6, 44.5, 15.2, 21, 185.76)","(47.5, 43.7, 20.3, 16, 382.41)","(45.3, 39.8, 25.6, 12, 729.84)","(42.8, 35.8, 23.1, 12, 544.09)","(49.1, 45.7, 18.0, 18, 282.4)","(49.1, 45.7, 18.0, 18, 282.4)","(44.3, 38.2, 24.6, 12, 651.64)","(42.8, 35.8, 23.1, 12, 544.09)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(0, 0)","(0, 2)","(1, 1)","(3, 1)","(1, 1)","(3, 0)","(0, 1)","(1, 0)","(1, 2)","(2, 1)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(4.6, 3.9, 2.0, 14, 2.4)","(5.3, 4.5, 3.2, 11, 6.56)","(4.6, 3.9, 2.0, 14, 2.4)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(32, 1)","(2, 2)","(1, 2)","(9, 0)","(3, 0)","(9, 2)","(54, 3)","(23, 2)","(26, 2)","(3, 3)","(66.2, 60.8, 24.5, 21, 283.85)","(68.0, 61.4, 32.9, 15, 585.69)","(64.4, 51.7, 48.2, 10, 1280.96)","(75.2, 70.0, 40.1, 14, 934.89)","(67.1, 61.7, 28.1, 18, 399.29)","(67.1, 61.7, 28.1, 18, 399.29)","(73.3, 63.3, 47.5, 11, 1255.05)","(75.2, 70.0, 40.1, 14, 934.89)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
"(4, 1)","(11, 5)","(3, 3)","(7, 4)","(7, 4)","(7, 2)","(11, 3)","(10, 3)","(7, 0)","(2, 1)","(33.6, 28.8, 20.8, 12, 211.76)","(43.5, 40.8, 23.4, 16, 209.04)","(34.3, 29.8, 21.5, 12, 236.45)","(34.3, 29.8, 21.5, 12, 236.45)","(43.5, 40.8, 23.4, 16, 209.04)","(43.5, 40.8, 23.4, 16, 209.04)","(35.0, 30.8, 22.2, 12, 262.76)","(34.3, 29.8, 21.5, 12, 236.45)"
